序号,X,Y,Z,力值
1,97.2,96.4,111,3.6N
2,98.8,101.3,106.6,23.5N
3,107.8,98.8,98.7,48.1N
4,100.4,98.3,102.7,2.9N
5,100.6,95.2,97.9,24.1N
6,108.6,99.8,97.6,50.7N
7,102.3,96.1,96.1,1N
8,93.7,91.7,97,25.4N
9,96.6,98.1,108.3,52.5N
10,97.8,104.6,99.7,9.1N
11,106.1,97.1,100.6,27.6N
12,101.8,103,101.2,51.5N
13,102,91.9,106.2,1.5N
14,100.6,99.7,97.4,23.8N
15,97.2,102.6,95,49.3N
16,108.9,101.5,108.4,6.4N
17,102.5,100.5,97.8,24.8N
18,90.2,96.8,96.4,47.5N
19,103.5,95.8,93.8,8.4N
20,97.6,94.9,93.6,26.8N
21,94.7,100.6,97.1,50.5N
22,98.9,95.3,103.1,7.4N
23,94.9,97.5,105.5,22.3N
24,96.4,98.7,103.5,51.3N
25,96.9,109.2,98.2,4N
26,91.6,96.7,100.3,26.4N
27,104.2,101.2,96.5,49.9N
28,100.8,100.4,96.4,6.3N
29,94.3,95.2,104.4,27.7N
30,106.3,99.6,94.9,50N
31,102.1,107.2,109.8,7N
32,98.5,102.3,99.5,22.6N
33,104.5,100.2,101.1,48.6N
34,104.4,97.9,96.3,8N
35,104.1,89.7,97.1,25.8N
36,103.4,105.7,93.4,45.9N
37,102.8,92.7,99.1,2.3N
38,99.7,103.7,102.1,24.6N
39,98.5,109.5,101.6,51.7N
40,98.1,92.8,96.1,4.8N
41,96.5,103.5,96.1,26.2N
42,99,98.7,97.5,51.9N
43,93.7,92.1,107.5,8.3N
44,110.8,92.4,94.3,25.1N
45,106,92,99.1,49.9N
46,94.4,97.3,109.5,1.5N
47,98,92.7,99.5,25.2N
48,97.7,103.4,93.2,48.9N
49,103.9,110.5,96.7,3.1N
50,99.6,93.6,102.4,24.6N
51,101.3,103.9,98.1,52N
52,99.9,103.8,97.2,1N
53,99.8,101.7,98.3,24.1N
54,106.8,95,100.5,50.2N
55,98.9,99.4,108,3.2N
56,107.6,98.6,99.6,25.7N
57,92.3,102.8,105.4,50.8N
58,102.9,98.1,103.2,4.9N
59,100.6,104.9,99.4,20.1N
60,101.1,98.1,92.3,55.1N
61,101.9,105.3,97.4,4.6N
62,97.5,94.8,97.6,26.3N
63,98.3,93.7,100.2,50.5N
64,94.9,116.2,106.5,7N
65,94.6,97.9,111.5,26.6N
66,101.5,101.5,107.7,49.6N
67,102.2,103.2,99.3,5.8N
68,100.3,97.6,91.2,23.1N
69,104.6,102.6,98.1,51.7N
70,110.3,101.8,100.4,4.1N
71,97.5,98.9,104.2,29.8N
72,88.5,100.3,104.8,46.7N
73,105,99.8,103.4,4.1N
74,96.5,110.6,93,26.7N
75,96.6,96.3,104.2,51N
76,105.1,94.5,97.8,3.8N
77,98.6,100.2,100.9,23N
78,93.9,101.6,100.4,50.3N
79,100.9,102.2,102.1,5N
80,99.3,97.7,100.1,21.4N
81,100,94.7,91.7,50.1N
82,101.9,106.3,103.7,5.4N
83,98.1,98.3,101.9,25.3N
84,103.2,95.7,98.7,47.9N
85,98.9,98.8,100.6,6N
86,101.7,99,100.7,27.8N
87,105.5,105.5,101.1,50.9N
88,102.2,100.4,108.2,2.7N
89,98.4,103.8,98.9,24.1N
90,105.7,97.5,100.8,50.7N
91,105,101.1,105.8,3.7N
92,102.7,98.4,105.3,20.7N
93,101.2,100.5,105.7,51.8N
94,96.9,95.5,97.1,3.3N
95,106.8,93.4,110,23.9N
96,97,110,100.3,53N
97,110.9,103,109.3,3.5N
98,107.7,93.7,93.2,26.7N
99,98.8,96.9,100.1,47.5N
100,94.9,94.1,106.2,4.3N
