sequence,x,y,z,force,target_force,tolerance_abs_map,tolerance_pct_map,deviation_abs,deviation_pct,tolerance_abs_limit,tolerance_pct_limit,within_tolerance_abs,within_tolerance_pct,within_tolerance,移动平均,移动标准差,Q1,Q3,IQR,is_outlier,z_score,is_z_outlier,cluster,error_value
1,97.2,96.4,111,3.6,5,0.5,5,-1.4,-27.999999999999996,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.47985034567181273,FALSE,1,1.4
2,98.8,101.3,106.6,23.5,25,1,4,-1.5,-6,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.655660792892805,FALSE,2,1.5
3,107.8,98.8,98.7,48.1,50,2,3,-1.8999999999999986,-3.799999999999997,2,1.5,TRUE,FALSE,FALSE,NA,NA,49.3,51.5,2.200000000000003,FALSE,1.1251564086951924,FALSE,3,1.8999999999999986
4,100.4,98.3,102.7,2.9,5,0.5,5,-2.1,-42.00000000000001,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.8006491722726313,FALSE,3,2.1
5,100.6,95.2,97.9,24.1,25,1,4,-0.8999999999999986,-3.5999999999999943,1,1,TRUE,TRUE,TRUE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.37527021623454204,FALSE,3,0.8999999999999986
6,108.6,99.8,97.6,50.7,50,2,3,0.7000000000000028,1.4000000000000057,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.24030921883023384,FALSE,3,0.7000000000000028
7,102.3,96.1,96.1,1,5,0.5,5,-4,-80,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,1.671388844474853,FALSE,3,4
8,93.7,91.7,97,25.4,25,1,4,0.3999999999999986,1.5999999999999945,1,1,TRUE,TRUE,TRUE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.2322426998583583,FALSE,1,0.3999999999999986
9,96.6,98.1,108.3,52.5,50,2,3,2.5,5,2,1.5,FALSE,FALSE,FALSE,NA,NA,49.3,51.5,2.200000000000003,FALSE,1.1856315763478347,FALSE,1,2.5
10,97.8,104.6,99.7,9.1,5,0.5,5,4.1,82,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,2.0407118633346184,FALSE,4,4.1
11,106.1,97.1,100.6,27.6,25,1,4,2.6000000000000014,10.400000000000006,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,1.2603414809386548,FALSE,2,2.6000000000000014
12,101.8,103,101.2,51.5,50,2,3,1.5,3,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.6604524888380556,FALSE,4,1.5
13,102,91.9,106.2,1.5,5,0.5,5,-3.5,-70,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,1.4422468254742684,FALSE,2,3.5
14,100.6,99.7,97.4,23.8,25,1,4,-1.1999999999999993,-4.799999999999997,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.5154655045636735,FALSE,3,1.1999999999999993
15,97.2,102.6,95,49.3,50,2,3,-0.7000000000000028,-1.4000000000000057,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.49494150368345985,FALSE,4,0.7000000000000028
16,108.9,101.5,108.4,6.4,5,0.5,5,1.4000000000000004,28.000000000000007,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.8033449607314616,FALSE,2,1.4000000000000004
17,102.5,100.5,97.8,24.8,25,1,4,-0.1999999999999993,-0.7999999999999973,1,1,TRUE,TRUE,TRUE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.048147876799903004,FALSE,3,0.1999999999999993
18,90.2,96.8,96.4,47.5,50,2,3,-2.5,-5,2,1.5,FALSE,FALSE,FALSE,NA,NA,49.3,51.5,2.200000000000003,FALSE,1.4402638612010605,FALSE,1,2.5
19,103.5,95.8,93.8,8.4,5,0.5,5,3.4000000000000004,68,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,1.7199130367338002,FALSE,3,3.4000000000000004
20,97.6,94.9,93.6,26.8,25,1,4,1.8000000000000007,7.200000000000002,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.886487378727638,FALSE,3,1.8000000000000007
21,94.7,100.6,97.1,50.5,50,2,3,0.5,1,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.13527340132827653,FALSE,1,0.5
22,98.9,95.3,103.1,7.4,5,0.5,5,2.4000000000000004,48.00000000000001,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,1.261628998732631,FALSE,2,2.4000000000000004
23,94.9,97.5,105.5,22.3,25,1,4,-2.6999999999999993,-10.799999999999997,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,1.2164419462093292,FALSE,2,2.6999999999999993
24,96.4,98.7,103.5,51.3,50,2,3,1.2999999999999972,2.5999999999999943,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.5554166713360983,FALSE,2,1.2999999999999972
25,96.9,109.2,98.2,4,5,0.5,5,-1,-20,0.5,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.29653673047134504,FALSE,4,1
26,91.6,96.7,100.3,26.4,25,1,4,1.3999999999999986,5.599999999999994,1,1,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.6995603276221288,FALSE,1,1.3999999999999986
27,104.2,101.2,96.5,49.9,50,2,3,-0.10000000000000142,-0.20000000000000281,2,1.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.17983405117759163,FALSE,3,0.10000000000000142
28,100.8,100.4,96.4,6.3,5,0.5,5,1.2999999999999998,25.999999999999996,0.5,0.25,FALSE,FALSE,FALSE,5.0600000000000005,2.855092915397948,3.2250000000000005,6.225,2.999999999999999,FALSE,0.7575165569313443,FALSE,3,1.2999999999999998
29,94.3,95.2,104.4,27.7,25,1,4,2.6999999999999993,10.799999999999997,1,1,FALSE,FALSE,FALSE,25.240000000000002,1.8458361550016054,23.8,26.4,2.599999999999998,FALSE,1.3070732437150308,FALSE,1,2.6999999999999993
30,106.3,99.6,94.9,50,50,2,3,0,0,2,1.5,TRUE,TRUE,TRUE,50.13,1.531919638159188,49.3,51.5,2.200000000000003,FALSE,0.127316142426613,FALSE,3,0
31,102.1,107.2,109.8,7,5,0.5,5,2,40,0.5,0.25,FALSE,FALSE,FALSE,5.4,2.8643401411921112,3.2250000000000005,6.225,2.999999999999999,FALSE,1.078315383532163,FALSE,2,2
32,98.5,102.3,99.5,22.6,25,1,4,-2.3999999999999986,-9.599999999999994,1,1,FALSE,FALSE,FALSE,25.15,1.9585992727230115,23.8,26.4,2.599999999999998,FALSE,1.0762466578801977,FALSE,4,2.3999999999999986
33,104.5,100.2,101.1,48.6,50,2,3,-1.3999999999999986,-2.799999999999997,2,1.5,TRUE,TRUE,TRUE,50.18,1.4649990519526699,49.3,51.5,2.200000000000003,FALSE,0.8625668649403029,FALSE,3,1.3999999999999986
34,104.4,97.9,96.3,8,5,0.5,5,3,60,0.5,0.25,FALSE,FALSE,FALSE,5.91,2.8234927149031415,3.2250000000000005,6.225,2.999999999999999,FALSE,1.5365994215333323,FALSE,3,3
35,104.1,89.7,97.1,25.8,25,1,4,0.8000000000000007,3.200000000000003,1,1,TRUE,TRUE,TRUE,25.32,1.9309180315188015,23.8,26.4,2.599999999999998,FALSE,0.4191697509638675,FALSE,3,0.8000000000000007
36,103.4,105.7,93.4,45.9,50,2,3,-4.100000000000001,-8.200000000000003,2,1.5,FALSE,FALSE,FALSE,49.7,1.9737161790783282,49.3,51.5,2.200000000000003,TRUE,2.2805504012167077,FALSE,4,4.100000000000001
37,102.8,92.7,99.1,2.3,5,0.5,5,-2.7,-54,0.5,0.25,FALSE,FALSE,FALSE,6.04,2.5928105728468993,3.2250000000000005,6.225,2.999999999999999,FALSE,1.075619595073333,FALSE,2,2.7
38,99.7,103.7,102.1,24.6,25,1,4,-0.3999999999999986,-1.5999999999999945,1,1,TRUE,TRUE,TRUE,25.240000000000002,1.9437649606426752,23.8,26.4,2.599999999999998,FALSE,0.14161140235265676,FALSE,4,0.3999999999999986
39,98.5,109.5,101.6,51.7,50,2,3,1.7000000000000028,3.4000000000000057,2,1.5,TRUE,FALSE,FALSE,49.62,1.8605853320333843,49.3,51.5,2.200000000000003,FALSE,0.7654883063400129,FALSE,4,1.7000000000000028
40,98.1,92.8,96.1,4.8,5,0.5,5,-0.20000000000000018,-4.0000000000000036,0.5,0.25,TRUE,TRUE,TRUE,5.61,2.3764819937602444,3.2250000000000005,6.225,2.999999999999999,FALSE,0.07009049992959036,FALSE,1,0.20000000000000018
41,96.5,103.5,96.1,26.2,25,1,4,1.1999999999999993,4.799999999999997,1,1,FALSE,FALSE,FALSE,25.1,1.7999999999999994,23.8,26.4,2.599999999999998,FALSE,0.606096802069375,FALSE,4,1.1999999999999993
42,99,98.7,97.5,51.9,50,2,3,1.8999999999999986,3.799999999999997,2,1.5,TRUE,FALSE,FALSE,49.66,1.9091592099374242,49.3,51.5,2.200000000000003,FALSE,0.8705241238419664,FALSE,3,1.8999999999999986
43,93.7,92.1,107.5,8.3,5,0.5,5,3.3000000000000007,66.00000000000001,0.5,0.25,FALSE,FALSE,FALSE,6.29,2.015192298516447,3.2250000000000005,6.225,2.999999999999999,FALSE,1.6740846329336836,FALSE,1,3.3000000000000007
44,110.8,92.4,94.3,25.1,25,1,4,0.10000000000000142,0.40000000000000563,1,1,TRUE,TRUE,TRUE,25.23,1.741678628348078,23.8,26.4,2.599999999999998,FALSE,0.09204741152922848,FALSE,3,0.10000000000000142
45,106,92,99.1,49.9,50,2,3,-0.10000000000000142,-0.20000000000000281,2,1.5,TRUE,TRUE,TRUE,49.72,1.9060138742645314,49.3,51.5,2.200000000000003,FALSE,0.17983405117759163,FALSE,3,0.10000000000000142
